CreatedDate,Pm2.5,Pm10
12-04-2024 22:00,92.75,342.25
12-04-2024 23:00,79.75,290.5
13-04-2024 00:00,76.75,263.5
13-04-2024 01:00,93.5,296.25
13-04-2024 02:00,76.25,258.5
13-04-2024 03:00,64.75,233.25
13-04-2024 04:00,90.25,277.25
13-04-2024 05:00,83.5,236.25
13-04-2024 06:00,73.25,214.25
13-04-2024 07:00,82.25,233.25
13-04-2024 08:00,86.25,272
13-04-2024 09:00,104,330.5
13-04-2024 10:00,97.25,312.5
13-04-2024 11:00,75.5,246
13-04-2024 12:00,44.25,170.5
13-04-2024 13:00,43.25,174
13-04-2024 14:00,40.5,173.5
13-04-2024 15:00,42.25,192.25
13-04-2024 16:00,26,155.25
13-04-2024 17:00,31.25,254.5
13-04-2024 18:00,39,461.75
13-04-2024 19:00,41.5,384
13-04-2024 20:00,41,135
13-04-2024 21:00,45.5,144.5
13-04-2024 22:00,54,184
13-04-2024 23:00,59.5,195
14-04-2024 00:00,39,119.5
14-04-2024 01:00,38.25,101.5
14-04-2024 02:00,43.5,135.75
14-04-2024 03:00,39.75,141.25
14-04-2024 04:00,41.75,130
14-04-2024 05:00,41.25,125.5
14-04-2024 06:00,48,148
14-04-2024 07:00,63.75,180.25
14-04-2024 08:00,55.25,203.5
14-04-2024 09:00,56,248.5
14-04-2024 10:00,87.5,314.5
14-04-2024 11:00,128,297.25
14-04-2024 12:00,122.75,262.75
14-04-2024 13:00,99.5,259.25
14-04-2024 14:00,66.25,190.5
14-04-2024 15:00,33.25,115.75
14-04-2024 16:00,28.75,109.25
14-04-2024 17:00,20.75,97.75
14-04-2024 18:00,19,95
14-04-2024 19:00,25.75,127
14-04-2024 20:00,34,172.75
14-04-2024 21:00,55.5,211.5
14-04-2024 22:00,68,209.75
14-04-2024 23:00,71.25,194.5
15-04-2024 00:00,67,185.25
15-04-2024 01:00,88.25,215.5
15-04-2024 02:00,131.5,258.75
15-04-2024 03:00,191.5,328
15-04-2024 04:00,206.25,353.25
15-04-2024 05:00,130.75,288.75
15-04-2024 06:00,141,304.5
15-04-2024 07:00,148.75,302.75
15-04-2024 08:00,125,273.75
15-04-2024 09:00,121,337.5
15-04-2024 10:00,122.25,359.5
15-04-2024 11:00,100.25,289.5
15-04-2024 12:00,68.25,223.25
15-04-2024 13:00,48,167.75
15-04-2024 14:00,65.5,207
15-04-2024 15:00,64,206.5
15-04-2024 16:00,58.25,183
15-04-2024 17:00,40.5,140
15-04-2024 18:00,41.75,137.5
15-04-2024 19:00,49,184.25
15-04-2024 20:00,52.75,242
15-04-2024 21:00,81.5,263
15-04-2024 22:00,113.5,324.25
15-04-2024 23:00,127.5,374.75
16-04-2024 00:00,108.5,295.25
16-04-2024 01:00,111,305.5
16-04-2024 02:00,134.75,360.5
16-04-2024 03:00,110,317
16-04-2024 04:00,90,265
16-04-2024 05:00,85.25,251
16-04-2024 06:00,99.75,281.75
16-04-2024 07:00,146.5,336.75
16-04-2024 08:00,184,408.75
16-04-2024 09:00,149.5,371
16-04-2024 10:00,100,302
16-04-2024 11:00,93.5,277.25
16-04-2024 12:00,65.25,214.25
16-04-2024 13:00,35.25,153.5
16-04-2024 14:00,23.5,117.75
16-04-2024 15:00,20.5,134
16-04-2024 16:00,15.25,144.5
16-04-2024 17:00,12,150.75
16-04-2024 18:00,9.75,152.25
16-04-2024 19:00,12.25,205.5
16-04-2024 20:00,17.5,167.25
16-04-2024 21:00,31.5,202.75
16-04-2024 22:00,33.75,207.25
16-04-2024 23:00,35.5,201
17-04-2024 00:00,33,192.75
17-04-2024 01:00,29.5,186
17-04-2024 02:00,27.25,131.25
17-04-2024 03:00,25,127
17-04-2024 04:00,26.25,119.25
17-04-2024 05:00,28.5,111.25
17-04-2024 06:00,25.25,106.75
17-04-2024 07:00,31.75,123.75
17-04-2024 08:00,41.25,142.5
17-04-2024 09:00,44.75,148.5
17-04-2024 10:00,48.25,163
17-04-2024 11:00,54,182.75
17-04-2024 12:00,29.5,157.5
17-04-2024 13:00,18.5,174
17-04-2024 14:00,15.75,174.25
17-04-2024 15:00,13,170.5
17-04-2024 16:00,16.5,161
17-04-2024 17:00,16.75,171.25
17-04-2024 18:00,14.25,161.25
17-04-2024 19:00,18.25,160
