CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
01-05-2024 17:30,20,58,58
01-05-2024 17:45,20,57,57
01-05-2024 18:00,20,59,59
01-05-2024 18:15,20,58,58
01-05-2024 18:30,20,59,59
01-05-2024 18:45,20,58,58
01-05-2024 19:00,20,58,58
01-05-2024 19:15,23,66,66
01-05-2024 19:30,27,77,77
01-05-2024 19:45,26,75,75
01-05-2024 20:00,29,81,81
01-05-2024 20:15,29,83,83
01-05-2024 20:30,34,95,95
01-05-2024 20:45,34,94,94
01-05-2024 21:00,40,110,107
01-05-2024 21:15,37,103,102
01-05-2024 21:30,40,111,107
01-05-2024 21:45,40,111,107
01-05-2024 22:00,42,116,111
01-05-2024 22:15,44,124,116
01-05-2024 22:30,44,125,117
01-05-2024 22:45,41,115,110
01-05-2024 23:00,42,115,110
01-05-2024 23:15,42,116,111
01-05-2024 23:30,41,114,109
01-05-2024 23:45,44,124,116
02-05-2024 00:00,50,141,127
02-05-2024 00:15,49,137,125
02-05-2024 00:30,49,138,125
02-05-2024 00:45,50,141,127
02-05-2024 01:00,50,141,127
02-05-2024 01:15,50,142,128
02-05-2024 01:30,51,143,129
02-05-2024 01:45,54,150,133
02-05-2024 02:00,56,154,136
02-05-2024 02:15,57,154,136
02-05-2024 02:30,58,155,137
02-05-2024 02:45,57,154,136
02-05-2024 03:00,62,159,139
02-05-2024 03:15,65,161,141
02-05-2024 03:30,69,164,143
02-05-2024 03:45,88,182,193
02-05-2024 04:00,93,187,210
02-05-2024 04:15,93,187,210
02-05-2024 04:30,88,182,193
02-05-2024 04:45,85,178,183
02-05-2024 05:00,78,170,160
02-05-2024 05:15,75,168,150
02-05-2024 05:30,87,180,190
02-05-2024 05:45,90,183,200
02-05-2024 06:00,102,195,240
02-05-2024 06:15,123,215,302
02-05-2024 06:30,135,228,312
02-05-2024 06:45,141,234,316
02-05-2024 07:00,144,241,318
02-05-2024 07:15,153,260,325
02-05-2024 07:30,161,279,332
02-05-2024 07:45,155,265,327
02-05-2024 08:00,137,231,313
02-05-2024 08:15,115,208,283
02-05-2024 08:30,85,178,183
02-05-2024 08:45,70,164,143
02-05-2024 09:00,60,157,138
02-05-2024 09:15,54,150,133
02-05-2024 09:30,48,134,123
02-05-2024 09:45,39,109,106
02-05-2024 10:00,35,97,97
02-05-2024 10:15,34,94,94
02-05-2024 10:30,32,88,88
02-05-2024 10:45,30,84,84
02-05-2024 11:00,28,76,76
02-05-2024 11:15,28,77,77
02-05-2024 11:30,28,79,79
02-05-2024 11:45,27,75,75
02-05-2024 12:00,27,73,73
02-05-2024 12:15,27,74,74
02-05-2024 12:30,29,79,79
02-05-2024 12:45,29,80,80
02-05-2024 13:00,28,77,77
02-05-2024 13:15,27,73,73
02-05-2024 13:30,25,68,68
02-05-2024 13:45,24,65,65
02-05-2024 14:00,24,66,66
02-05-2024 14:15,24,66,66
02-05-2024 14:30,24,67,67
02-05-2024 14:45,26,70,70
02-05-2024 15:00,27,74,74
02-05-2024 15:15,27,73,73
02-05-2024 15:30,26,71,71
02-05-2024 15:45,25,68,68
02-05-2024 16:00,23,64,64
02-05-2024 16:15,22,61,61
02-05-2024 16:30,21,58,58
02-05-2024 16:45,23,64,64
02-05-2024 17:00,26,70,70
02-05-2024 17:15,26,72,72
02-05-2024 17:30,26,71,71
02-05-2024 17:45,27,72,72
02-05-2024 18:00,26,72,72
02-05-2024 18:15,27,75,75
02-05-2024 18:30,28,76,76
02-05-2024 18:45,27,74,74
02-05-2024 19:00,27,74,74
02-05-2024 19:15,31,84,84
02-05-2024 19:30,30,83,83
02-05-2024 19:45,34,95,95
02-05-2024 20:00,41,114,109
02-05-2024 20:15,44,122,115
02-05-2024 20:30,47,131,121
02-05-2024 20:45,54,146,131
02-05-2024 21:00,53,148,132
02-05-2024 21:15,53,146,131
02-05-2024 21:30,54,150,133
02-05-2024 21:45,54,149,133
02-05-2024 22:00,53,146,131
02-05-2024 22:15,54,149,133
02-05-2024 22:30,54,149,133
02-05-2024 22:45,54,150,133
02-05-2024 23:00,54,150,133
02-05-2024 23:15,56,153,135
02-05-2024 23:30,57,154,136
02-05-2024 23:45,60,157,138
03-05-2024 00:00,62,159,139
03-05-2024 00:15,64,160,140
03-05-2024 00:30,67,162,141
