CreatedDate,Pm2.5,Pm10
13-04-2024 02:00,73,221.5
13-04-2024 03:00,67.75,199.5
13-04-2024 04:00,61,175.5
13-04-2024 05:00,64.5,182.5
13-04-2024 06:00,73.5,202.25
13-04-2024 07:00,78.5,345
13-04-2024 08:00,98.5,604
13-04-2024 09:00,68,385.5
13-04-2024 10:00,56.25,270.75
13-04-2024 11:00,64.75,303
13-04-2024 12:00,56.75,278.75
13-04-2024 13:00,41.25,169.25
13-04-2024 14:00,33,141.25
13-04-2024 15:00,34.75,153.25
13-04-2024 16:00,40,194.25
13-04-2024 17:00,53.75,289
13-04-2024 18:00,79.75,342.25
13-04-2024 19:00,34.25,79.25
13-04-2024 20:00,37.5,59.75
13-04-2024 21:00,45.75,87
13-04-2024 22:00,49.25,118.25
13-04-2024 23:00,47.25,137.25
14-04-2024 00:00,35.75,103
14-04-2024 01:00,51.25,102.25
14-04-2024 02:00,44,93.5
14-04-2024 03:00,38,98.75
14-04-2024 04:00,36.75,90
14-04-2024 05:00,34.25,83.75
14-04-2024 06:00,38.25,95.25
14-04-2024 07:00,41.25,140.75
14-04-2024 08:00,54.25,175.25
14-04-2024 09:00,90.5,219.25
14-04-2024 10:00,138.25,264.25
14-04-2024 11:00,118,218
14-04-2024 12:00,97.5,185.5
14-04-2024 13:00,84,150.75
14-04-2024 14:00,62.75,123.5
14-04-2024 15:00,55,135.25
14-04-2024 16:00,57.5,166.5
14-04-2024 17:00,48,158.5
14-04-2024 18:00,45.75,132
14-04-2024 19:00,35.5,166.5
14-04-2024 20:00,58.5,280.25
14-04-2024 21:00,82.25,348.25
14-04-2024 22:00,91.5,290.75
14-04-2024 23:00,78.75,255.75
15-04-2024 00:00,74,220.75
15-04-2024 01:00,81,236
15-04-2024 02:00,84.25,239.25
15-04-2024 03:00,86,242.75
15-04-2024 04:00,88.25,252
15-04-2024 05:00,89.75,260.75
15-04-2024 06:00,116.75,290
15-04-2024 07:00,195.5,386
15-04-2024 08:00,326,612.75
15-04-2024 09:00,449.25,781.5
15-04-2024 10:00,419,777.25
15-04-2024 11:00,229.5,455.5
15-04-2024 12:00,112.5,300
15-04-2024 13:00,100,300
15-04-2024 14:00,99.75,273.5
15-04-2024 15:00,94.5,258.5
15-04-2024 16:00,99.5,280.25
15-04-2024 17:00,67.5,231.25
15-04-2024 18:00,48.75,188.5
15-04-2024 19:00,55.5,285.5
15-04-2024 20:00,75.25,430.75
15-04-2024 21:00,96,433.75
15-04-2024 22:00,109,507.75
15-04-2024 23:00,121.5,675.25
16-04-2024 00:00,95.75,388.75
16-04-2024 01:00,94.75,440
16-04-2024 02:00,97,397.5
16-04-2024 03:00,103.75,310.75
16-04-2024 04:00,100.25,291.75
16-04-2024 05:00,115.75,276.5
16-04-2024 06:00,154.5,310.75
16-04-2024 07:00,221,415.25
16-04-2024 08:00,225,530
16-04-2024 09:00,211.75,575.75
16-04-2024 10:00,171.5,516.25
16-04-2024 11:00,106.25,302.75
16-04-2024 12:00,64.5,203.5
16-04-2024 13:00,26.5,157.25
16-04-2024 14:00,25.5,160.5
