CreatedDate,pm25_Surender: Living room,pm10_Surender: Living room,aqi_Surender: Living room
01-05-2024 18:00,38,99,99
01-05-2024 18:15,44,115,110
01-05-2024 18:30,29,81,81
01-05-2024 18:45,26,72,72
01-05-2024 19:00,26,71,71
01-05-2024 19:15,26,72,72
01-05-2024 19:30,24,67,67
01-05-2024 19:45,30,83,83
01-05-2024 20:00,65,149,133
01-05-2024 20:15,49,120,113
01-05-2024 20:30,48,120,113
01-05-2024 20:45,68,161,141
01-05-2024 21:00,54,137,125
01-05-2024 21:15,41,107,105
01-05-2024 21:30,35,95,95
01-05-2024 21:45,34,93,93
01-05-2024 22:00,33,89,89
01-05-2024 22:15,32,88,88
01-05-2024 22:30,32,87,87
01-05-2024 22:45,31,85,85
01-05-2024 23:00,32,88,88
01-05-2024 23:15,32,87,87
01-05-2024 23:30,34,94,94
01-05-2024 23:45,35,95,95
02-05-2024 00:00,40,106,104
02-05-2024 00:15,42,111,107
02-05-2024 00:30,43,113,109
02-05-2024 00:45,47,122,115
02-05-2024 01:00,53,136,124
02-05-2024 01:15,56,146,131
02-05-2024 01:30,59,151,134
02-05-2024 01:45,59,151,134
02-05-2024 02:00,60,152,135
02-05-2024 02:15,60,152,135
02-05-2024 02:30,61,153,135
02-05-2024 02:45,61,153,135
02-05-2024 03:00,61,154,136
02-05-2024 03:15,61,153,135
02-05-2024 03:30,59,151,134
02-05-2024 03:45,59,151,134
02-05-2024 04:00,64,156,137
02-05-2024 04:15,72,167,145
02-05-2024 04:30,78,173,160
02-05-2024 04:45,72,167,145
02-05-2024 05:00,70,164,143
02-05-2024 05:15,69,163,142
02-05-2024 05:30,69,164,143
02-05-2024 05:45,73,167,145
02-05-2024 06:00,80,174,167
02-05-2024 06:15,90,184,200
02-05-2024 06:30,102,196,240
02-05-2024 06:45,107,200,257
02-05-2024 07:00,97,191,223
02-05-2024 07:15,87,182,190
02-05-2024 07:30,86,181,187
02-05-2024 07:45,84,179,180
02-05-2024 08:00,79,173,163
02-05-2024 08:15,72,166,144
02-05-2024 08:30,85,180,183
02-05-2024 08:45,116,208,287
02-05-2024 09:00,81,175,170
02-05-2024 09:15,65,158,139
02-05-2024 09:30,129,224,307
02-05-2024 09:45,203,318,364
02-05-2024 10:00,154,249,326
02-05-2024 10:15,133,224,310
02-05-2024 10:30,139,231,315
02-05-2024 10:45,91,183,203
02-05-2024 11:00,37,100,100
02-05-2024 11:15,33,88,88
02-05-2024 11:30,31,84,84
02-05-2024 11:45,28,79,79
02-05-2024 12:00,27,76,76
02-05-2024 12:15,27,75,75
02-05-2024 12:30,27,75,75
02-05-2024 12:45,31,84,84
02-05-2024 13:00,30,83,83
02-05-2024 13:15,33,89,89
02-05-2024 13:30,32,86,86
02-05-2024 13:45,31,84,84
02-05-2024 14:00,28,79,79
02-05-2024 14:15,30,82,82
02-05-2024 14:30,26,73,73
02-05-2024 14:45,26,70,70
02-05-2024 15:00,27,74,74
02-05-2024 15:15,26,70,70
02-05-2024 15:30,27,75,75
02-05-2024 15:45,27,73,73
02-05-2024 16:00,27,74,74
02-05-2024 16:15,26,71,71
02-05-2024 16:30,23,65,65
02-05-2024 16:45,23,65,65
02-05-2024 17:00,24,65,65
02-05-2024 17:15,25,69,69
02-05-2024 17:30,27,75,75
02-05-2024 17:45,37,99,99
02-05-2024 18:00,59,146,131
02-05-2024 18:15,44,115,110
02-05-2024 18:30,35,95,95
02-05-2024 18:45,35,94,94
02-05-2024 19:00,35,94,94
02-05-2024 19:15,37,98,98
02-05-2024 19:30,77,171,157
02-05-2024 19:45,62,154,136
02-05-2024 20:00,55,141,127
02-05-2024 20:15,57,148,132
02-05-2024 20:30,60,152,135
02-05-2024 20:45,60,152,135
02-05-2024 21:00,57,147,131
02-05-2024 21:15,58,150,133
02-05-2024 21:30,58,150,133
02-05-2024 21:45,58,150,133
02-05-2024 22:00,58,149,133
02-05-2024 22:15,59,151,134
